id,naziv,godina,zanr,reziser,trajanje,opis,poster
1,Interstellar,2014,Sci-Fi,Christopher Nolan,169,Grupa astronauta putuje kroz crvotocinu u potrazi za novim domom za covjecanstvo,posteri/interstellar.jpg
2,Inception,2010,Sci-Fi,Christopher Nolan,148,Lopov ulazi u snove drugih ljudi i pokusava da posadi ideju u neciji um,posteri/inception.jpg
3,The Batman,2022,Crime,Matt Reeves,176,Batman istrazuje niz zagonetnih zlocina u Gotham Cityju,posteri/the_batman.jpg
4,Parasite,2019,Thriller,Bong Joon-ho,132,Porodica bez novca ulazi u zivot bogate porodice i pokrece niz neocekivanih dogadjaja,posteri/parasite.jpg
5,Whiplash,2014,Drama,Damien Chazelle,106,Mladi bubnjar pokusava da dostigne savrsenstvo pod pritiskom strogog profesora,posteri/whiplash.jpg
6,La La Land,2016,Musical,Damien Chazelle,128,Glumica i jazz muzicar se zaljubljuju dok jure svoje snove u Los Angelesu,posteri/la_la_land.jpg
7,The Grand Budapest Hotel,2014,Comedy,Wes Anderson,99,Recepcionar luksuznog hotela i njegov mladi pomocnik ulaze u neobicnu avanturu,posteri/the_grand_budapest_hotel.jpg
8,Arrival,2016,Sci-Fi,Denis Villeneuve,116,Lingvistkinja pokusava da komunicira sa vanzemaljcima koji su stigli na Zemlju,posteri/arrival.jpg
9,Dune,2021,Sci-Fi,Denis Villeneuve,155,Mladi nasljednik plemicke kuce odlazi na opasnu pustinjsku planetu Arrakis,posteri/dune.jpg
10,The Social Network,2010,Drama,David Fincher,120,Prica o nastanku Facebooka i sukobima koji su pratili njegov uspon,posteri/the_social_network.jpg
11,The Lord of the Rings: The Fellowship of the Ring,2001,Fantasy,Peter Jackson,178,"Prsten sa misterioznim mocima dat je na cuvanje jednom hobitu, Frodu. Kada otkrije da je to Jedinstveni prsten Moci, mora krenuti u avanturu sa svojim prijateljima kako bi ga unistio.",posteri/the_lord_of_the_rings_the_fellowship_of_the_ring.jpg
12,Cars,2006,Animated,"John Lasseter, Joe Ranft",116,"Na putu za najvecu trku svog zivota, vrhunski trkacki automobil u svojoj prvoj sezoni trkanja se nadje u zapustenom gradu gdje uci da pobjeda nije sve u zivotu",posteri/cars.jpg
